game_id,game_date,game_date_time,home_team,away_team,home_team_id,away_team_id,home_score,away_score,state,venue,game_type
634642,2021-04-01,2021-04-01T17:05:00Z,New York Yankees,Toronto Blue Jays,147,141,2,3,Final,Yankee Stadium,R
634645,2021-04-01,2021-04-01T17:10:00Z,Detroit Tigers,Cleveland Indians,116,114,3,2,Final,Comerica Park,R
634638,2021-04-01,2021-04-01T18:10:00Z,Milwaukee Brewers,Minnesota Twins,158,142,6,5,Final,American Family Field,R
634634,2021-04-01,2021-04-01T18:20:00Z,Chicago Cubs,Pittsburgh Pirates,112,134,3,5,Final,Wrigley Field,R
634622,2021-04-01,2021-04-01T19:05:00Z,Philadelphia Phillies,Atlanta Braves,143,144,3,2,Final,Citizens Bank Park,R
634615,2021-04-01,2021-04-01T20:10:00Z,Colorado Rockies,Los Angeles Dodgers,115,119,8,5,Final,Coors Field,R
634618,2021-04-01,2021-04-01T20:10:00Z,San Diego Padres,Arizona Diamondbacks,135,109,8,7,Final,Petco Park,R
634636,2021-04-01,2021-04-01T20:10:00Z,Cincinnati Reds,St. Louis Cardinals,113,138,6,11,Final,Great American Ball Park,R
634630,2021-04-01,2021-04-01T20:10:00Z,Kansas City Royals,Texas Rangers,118,140,14,10,Final,Kauffman Stadium,R
634652,2021-04-01,2021-04-01T20:10:00Z,Miami Marlins,Tampa Bay Rays,146,139,0,1,Final,loanDepot park,R
634655,2021-04-01,2021-04-02T02:05:00Z,Los Angeles Angels,Chicago White Sox,108,145,4,3,Final,Angel Stadium,R
634640,2021-04-01,2021-04-02T02:07:00Z,Oakland Athletics,Houston Astros,133,117,1,8,Final,Oakland Coliseum,R
634625,2021-04-01,2021-04-02T02:10:00Z,Seattle Mariners,San Francisco Giants,136,137,8,7,Final,T-Mobile Park,R
634627,2021-04-01,2021-04-01T18:10:00Z,Boston Red Sox,Baltimore Orioles,111,110,,,Postponed,Fenway Park,R
634647,2021-04-01,2021-04-01T23:09:00Z,Washington Nationals,New York Mets,120,121,,,Postponed,Nationals Park,R
634627,2021-04-02,2021-04-02T18:10:00Z,Boston Red Sox,Baltimore Orioles,111,110,0,3,Final,Fenway Park,R
634602,2021-04-02,2021-04-02T23:10:00Z,Miami Marlins,Tampa Bay Rays,146,139,4,6,Final,loanDepot park,R
634653,2021-04-02,2021-04-03T00:40:00Z,Colorado Rockies,Los Angeles Dodgers,115,119,6,11,Final,Coors Field,R
634631,2021-04-02,2021-04-03T01:38:00Z,Los Angeles Angels,Chicago White Sox,108,145,8,12,Final,Angel Stadium,R
634605,2021-04-02,2021-04-03T01:40:00Z,Oakland Athletics,Houston Astros,133,117,5,9,Final,Oakland Coliseum,R
634576,2021-04-02,2021-04-03T02:10:00Z,San Diego Padres,Arizona Diamondbacks,135,109,4,2,Final,Petco Park,R
634578,2021-04-02,2021-04-03T02:10:00Z,Seattle Mariners,San Francisco Giants,136,137,3,6,Final,T-Mobile Park,R
634644,2021-04-03,2021-04-03T17:05:00Z,New York Yankees,Toronto Blue Jays,147,141,5,3,Final,Yankee Stadium,R
634577,2021-04-03,2021-04-03T17:10:00Z,Boston Red Sox,Baltimore Orioles,111,110,2,4,Final,Fenway Park,R
634573,2021-04-03,2021-04-03T17:10:00Z,Detroit Tigers,Cleveland Indians,116,114,5,2,Final,Comerica Park,R
634604,2021-04-03,2021-04-03T18:10:00Z,Kansas City Royals,Texas Rangers,118,140,11,4,Final,Kauffman Stadium,R
634643,2021-04-03,2021-04-03T18:20:00Z,Chicago Cubs,Pittsburgh Pirates,112,134,5,1,Final,Wrigley Field,R
634580,2021-04-03,2021-04-03T20:05:00Z,Philadelphia Phillies,Atlanta Braves,143,144,4,0,Final,Citizens Bank Park,R
634629,2021-04-03,2021-04-03T20:07:00Z,Oakland Athletics,Houston Astros,133,117,1,9,Final,Oakland Coliseum,R
634654,2021-04-03,2021-04-03T20:10:00Z,Cincinnati Reds,St. Louis Cardinals,113,138,9,6,Final,Great American Ball Park,R
634596,2021-04-03,2021-04-03T22:10:00Z,Miami Marlins,Tampa Bay Rays,146,139,12,7,Final,loanDepot park,R
634575,2021-04-03,2021-04-03T23:10:00Z,Milwaukee Brewers,Minnesota Twins,158,142,0,2,Final,American Family Field,R
634633,2021-04-03,2021-04-04T00:10:00Z,Colorado Rockies,Los Angeles Dodgers,115,119,5,6,Final,Coors Field,R
634623,2021-04-03,2021-04-04T00:40:00Z,San Diego Padres,Arizona Diamondbacks,135,109,7,0,Final,Petco Park,R
634646,2021-04-03,2021-04-04T01:07:00Z,Los Angeles Angels,Chicago White Sox,108,145,5,3,Final,Angel Stadium,R
634639,2021-04-03,2021-04-04T01:10:00Z,Seattle Mariners,San Francisco Giants,136,137,4,0,Final,T-Mobile Park,R
634620,2021-04-03,2021-04-03T20:05:00Z,Washington Nationals,New York Mets,120,121,,,Postponed,Nationals Park,R
634617,2021-04-04,2021-04-04T17:05:00Z,Philadelphia Phillies,Atlanta Braves,143,144,2,1,Final,Citizens Bank Park,R
634607,2021-04-04,2021-04-04T17:05:00Z,New York Yankees,Toronto Blue Jays,147,141,1,3,Final,Yankee Stadium,R
634610,2021-04-04,2021-04-04T17:10:00Z,Boston Red Sox,Baltimore Orioles,111,110,3,11,Final,Fenway Park,R
634611,2021-04-04,2021-04-04T17:10:00Z,Detroit Tigers,Cleveland Indians,116,114,3,9,Final,Comerica Park,R
634560,2021-04-04,2021-04-04T17:10:00Z,Cincinnati Reds,St. Louis Cardinals,113,138,12,1,Final,Great American Ball Park,R
634593,2021-04-04,2021-04-04T18:10:00Z,Kansas City Royals,Texas Rangers,118,140,3,7,Final,Kauffman Stadium,R
634597,2021-04-04,2021-04-04T18:10:00Z,Milwaukee Brewers,Minnesota Twins,158,142,2,8,Final,American Family Field,R
634613,2021-04-04,2021-04-04T18:20:00Z,Chicago Cubs,Pittsburgh Pirates,112,134,4,3,Final,Wrigley Field,R
634557,2021-04-04,2021-04-04T19:10:00Z,Colorado Rockies,Los Angeles Dodgers,115,119,2,4,Final,Coors Field,R
634651,2021-04-04,2021-04-04T20:07:00Z,Oakland Athletics,Houston Astros,133,117,2,9,Final,Oakland Coliseum,R
634572,2021-04-04,2021-04-04T20:10:00Z,San Diego Padres,Arizona Diamondbacks,135,109,1,3,Final,Petco Park,R
634637,2021-04-04,2021-04-05T00:37:00Z,Los Angeles Angels,Chicago White Sox,108,145,7,4,Final,Angel Stadium,R
634556,2021-04-04,2021-04-04T17:05:00Z,Washington Nationals,New York Mets,120,121,,,Postponed,Nationals Park,R
634588,2021-04-05,2021-04-05T17:10:00Z,Detroit Tigers,Minnesota Twins,116,142,6,15,Final,Comerica Park,R
634612,2021-04-05,2021-04-05T20:05:00Z,Texas Rangers,Toronto Blue Jays,140,141,2,6,Final,Globe Life Field,R
634616,2021-04-05,2021-04-05T20:10:00Z,Cleveland Indians,Kansas City Royals,114,118,0,3,Final,Progressive Field,R
634587,2021-04-05,2021-04-05T22:35:00Z,New York Yankees,Baltimore Orioles,147,110,7,0,Final,Yankee Stadium,R
634558,2021-04-05,2021-04-05T22:40:00Z,Cincinnati Reds,Pittsburgh Pirates,113,134,5,3,Final,Great American Ball Park,R
634562,2021-04-05,2021-04-05T22:40:00Z,Miami Marlins,St. Louis Cardinals,146,138,1,4,Final,loanDepot park,R
634606,2021-04-05,2021-04-05T23:05:00Z,Philadelphia Phillies,New York Mets,143,121,5,3,Final,Citizens Bank Park,R
634601,2021-04-05,2021-04-05T23:10:00Z,Boston Red Sox,Tampa Bay Rays,111,139,11,2,Final,Fenway Park,R
634566,2021-04-05,2021-04-05T23:40:00Z,Chicago Cubs,Milwaukee Brewers,112,158,5,3,Final,Wrigley Field,R
634552,2021-04-05,2021-04-06T01:38:00Z,Los Angeles Angels,Houston Astros,108,117,7,6,Final,Angel Stadium,R
634600,2021-04-05,2021-04-06T01:40:00Z,Oakland Athletics,Los Angeles Dodgers,133,119,3,10,Final,Oakland Coliseum,R
634591,2021-04-05,2021-04-06T02:10:00Z,San Diego Padres,San Francisco Giants,135,137,2,3,Final,Petco Park,R
634551,2021-04-05,2021-04-06T02:10:00Z,Seattle Mariners,Chicago White Sox,136,145,0,6,Final,T-Mobile Park,R
634595,2021-04-05,2021-04-05T20:05:00Z,Washington Nationals,Atlanta Braves,120,144,,,Postponed,Nationals Park,R
634603,2021-04-06,2021-04-06T17:10:00Z,Detroit Tigers,Minnesota Twins,116,142,4,3,Final,Comerica Park,R
634624,2021-04-06,2021-04-06T20:05:00Z,Washington Nationals,Atlanta Braves,120,144,6,5,Final,Nationals Park,R
634586,2021-04-06,2021-04-06T20:07:00Z,Los Angeles Angels,Houston Astros,108,117,2,4,Final,Angel Stadium,R
634599,2021-04-06,2021-04-06T22:35:00Z,New York Yankees,Baltimore Orioles,147,110,7,2,Final,Yankee Stadium,R
634530,2021-04-06,2021-04-06T22:40:00Z,Cincinnati Reds,Pittsburgh Pirates,113,134,14,1,Final,Great American Ball Park,R
634594,2021-04-06,2021-04-06T22:40:00Z,Miami Marlins,St. Louis Cardinals,146,138,2,4,Final,loanDepot park,R
