game_pk,team_side,team_id,runs_batting,hits_batting,strikeOuts_batting,baseOnBalls_batting,avg,obp,slg,pitchesThrown,balls_pitching,strikes_pitching,strikeOuts_pitching,baseOnBalls_pitching,hits_pitching,earnedRuns,homeRuns_pitcing,runs_pitching,era,whip,groundOuts_pitching,airOuts_pitching,total,putOuts,assists,errors,doublePlays,triplePlays,rangeFactor,caughtStealing,passedBall,innings
634642,home,147,2,6,13,6,.171,.293,.257,159,55,104,13,2,8,2,1,3,1.80,1.00,4,11,0,30,7,0,0,0,0,1,0,0
634642,away,141,3,8,13,2,.222,.263,.333,181,78,103,13,6,6,2,1,2,1.80,1.20,10,6,0,30,10,0,0,0,0,0,0,0
634645,home,116,3,5,14,5,.167,.286,.300,154,60,94,5,6,6,2,1,2,2.00,1.33,11,10,0,27,12,0,0,0,0,0,0,0
634645,away,114,2,6,5,6,.188,.316,.313,125,48,77,14,5,5,3,1,3,3.38,1.25,5,6,0,24,6,1,0,0,0,0,0,0
634638,home,158,6,11,9,2,.275,.341,.300,189,74,115,17,7,10,5,1,5,4.50,1.70,7,6,0,30,6,0,0,0,0,0,0,0
634638,away,142,5,10,17,7,.256,.370,.436,151,50,101,9,2,11,1,0,6,1.00,1.44,10,10,0,27,10,2,0,0,0,0,0,0
634634,home,112,3,2,13,4,.077,.182,.154,214,92,122,10,11,9,5,1,5,5.00,2.22,11,5,0,27,13,0,0,0,0,1,0,0
634634,away,134,5,9,10,11,.257,.447,.400,151,60,91,13,4,2,2,0,3,2.00,0.67,8,7,0,27,8,2,0,0,0,0,0,0
634622,home,143,3,9,13,4,.250,.333,.306,134,41,93,10,2,7,2,1,2,1.80,0.90,7,13,0,30,7,1,0,0,0,0,0,0
634622,away,144,2,7,10,2,.189,.250,.324,151,50,101,13,4,9,2,0,3,1.86,1.34,11,5,0,29,11,1,0,0,0,0,0,0
634615,home,115,8,11,4,3,.314,.368,.400,190,74,116,6,8,15,5,0,5,5.00,2.56,10,6,0,27,12,0,0,0,0,0,0,0
634615,away,119,5,15,6,8,.417,.522,.556,131,44,87,4,3,11,7,0,8,7.88,1.75,15,6,0,24,15,2,0,0,0,1,0,0
634618,home,135,8,10,10,5,.313,.410,.594,169,51,118,12,1,12,4,4,7,4.00,1.44,7,9,0,27,6,1,0,0,0,0,0,0
634618,away,109,7,12,12,1,.300,.317,.675,149,54,95,10,5,10,8,2,8,9.00,1.88,5,8,0,24,6,0,0,0,0,0,0,0
634636,home,113,6,10,8,5,.294,.390,.559,146,44,102,7,3,10,9,2,11,9.00,1.44,12,8,0,27,12,2,0,0,0,0,0,0
634636,away,138,11,10,7,3,.270,.341,.486,176,76,100,8,5,10,6,2,6,6.00,1.67,4,14,0,27,4,0,0,0,0,0,0,0
634630,home,118,14,15,8,8,.395,.500,.632,202,80,122,16,9,15,9,0,10,9.00,2.67,3,6,0,27,5,0,0,0,0,0,1,0
634630,away,140,10,15,16,9,.375,.500,.450,200,80,120,8,8,15,14,3,14,15.75,2.88,12,5,0,24,10,3,0,0,0,0,1,0
634652,home,146,0,3,9,1,.100,.129,.100,138,50,88,12,3,5,1,1,1,1.00,0.89,7,8,0,27,5,0,0,0,0,0,0,0
634652,away,139,1,5,12,3,.156,.250,.281,121,36,85,9,1,3,0,0,0,0.00,0.44,8,10,0,27,7,0,0,0,0,0,0,0
634655,home,108,4,6,10,4,.200,.294,.300,125,42,83,10,2,7,3,1,3,3.00,1.00,10,6,0,27,10,0,0,0,0,1,0,0
634655,away,145,3,7,10,2,.212,.257,.364,140,48,92,10,4,6,2,1,4,2.25,1.25,7,7,0,24,7,1,0,0,0,0,1,0
634640,home,133,1,6,10,3,.200,.286,.267,152,63,89,5,6,9,8,2,8,8.00,1.67,9,12,0,27,8,0,0,0,0,0,0,0
634640,away,117,8,9,5,6,.273,.395,.545,155,53,102,10,3,6,0,0,1,0.00,1.00,6,9,0,27,8,2,0,0,0,0,0,0
634625,home,136,8,5,9,9,.156,.349,.250,174,71,103,7,4,10,6,4,7,5.40,1.40,10,12,0,30,11,1,0,0,0,0,0,0
634625,away,137,7,10,7,4,.256,.326,.641,171,70,101,9,9,5,6,0,8,6.00,1.56,7,12,0,27,7,1,0,0,0,0,0,0
634627,home,111,0,2,8,2,.069,.129,.103,164,65,99,7,2,9,2,0,3,2.00,1.22,11,7,0,27,14,1,0,0,0,0,0,0
634627,away,110,3,9,7,2,.265,.306,.324,136,47,89,8,2,2,0,0,0,0.00,0.44,5,14,0,27,3,1,0,0,0,0,1,0
634647,home,120,1,4,8,7,.244,.316,.382,84,21,63,6,0,7,5,2,5,3.76,1.21,9,6,0,21,8,1,0,0,0,1,0,0
634647,away,121,5,7,6,0,.232,.312,.377,157,68,89,8,7,4,1,0,1,3.08,1.12,7,5,0,21,7,0,0,0,0,0,0,0
634627,home,111,0,2,8,2,.069,.129,.103,164,65,99,7,2,9,2,0,3,2.00,1.22,11,7,0,27,14,1,0,0,0,0,0,0
634627,away,110,3,9,7,2,.265,.306,.324,136,47,89,8,2,2,0,0,0,0.00,0.44,5,14,0,27,3,1,0,0,0,0,1,0
634602,home,146,4,10,7,3,.197,.243,.258,143,41,102,7,3,8,6,3,6,3.50,1.06,9,9,0,27,10,0,0,0,0,0,0,0
634602,away,139,6,8,7,3,.203,.278,.438,140,52,88,7,3,10,4,0,4,2.00,0.94,7,12,0,27,7,1,0,0,0,0,0,0
634653,home,115,6,8,13,2,.271,.320,.486,169,64,105,7,2,16,11,0,11,8.00,2.28,11,10,0,27,9,0,0,0,0,0,0,0
634653,away,119,11,16,7,2,.403,.473,.584,133,42,91,13,2,8,6,4,6,6.88,1.41,9,5,0,27,7,1,0,0,0,0,0,0
634631,home,108,8,8,12,5,.215,.311,.400,173,52,121,11,5,13,12,2,12,7.50,1.50,11,5,0,27,12,1,0,0,0,0,0,0
634631,away,145,12,13,11,5,.274,.338,.452,161,59,102,12,5,8,6,2,8,4.24,1.35,7,8,0,27,9,1,0,0,0,0,0,0
634605,home,133,5,8,7,3,.222,.311,.349,182,78,104,11,5,14,8,2,9,8.00,1.89,5,10,0,27,4,1,0,0,0,0,0,0
634605,away,117,9,14,11,5,.315,.409,.575,164,67,97,7,3,8,5,1,5,2.50,1.11,9,10,0,27,8,0,0,0,0,0,0,0
634576,home,135,4,9,8,7,.317,.427,.567,160,62,98,12,2,8,2,1,2,3.00,1.28,9,7,0,27,8,2,0,0,0,0,0,0
634576,away,109,2,8,12,2,.263,.291,.513,159,64,95,8,7,9,4,1,4,6.75,1.94,7,5,0,24,12,0,0,0,0,2,0,0
634578,home,136,3,6,12,4,.175,.321,.270,149,47,102,13,4,8,6,2,6,5.68,1.37,7,7,0,27,7,0,0,0,0,0,0,0
634578,away,137,6,8,13,4,.243,.317,.541,152,55,97,12,4,6,3,0,3,4.50,1.33,7,6,0,27,7,0,0,0,0,0,0,0
634644,home,147,5,11,10,6,.243,.354,.343,150,58,92,11,3,8,2,1,3,1.89,1.11,8,6,0,27,9,1,0,0,0,0,0,0
634644,away,141,3,8,11,3,.232,.293,.333,170,68,102,10,6,11,5,1,5,3.50,1.61,6,8,0,24,6,1,0,0,0,0,0,0
634577,home,111,2,7,8,2,.145,.206,.177,136,50,86,11,1,8,3,0,4,2.50,1.11,8,8,0,27,9,1,0,0,0,0,1,0
634577,away,110,4,8,11,1,.250,.278,.294,152,57,95,8,2,7,2,0,2,1.00,0.72,9,10,0,27,8,0,0,0,0,0,0,0
634573,home,116,5,10,6,5,.242,.342,.355,145,55,90,6,4,7,2,1,2,2.00,1.28,7,12,0,27,8,0,0,0,0,0,0,0
634573,away,114,2,7,6,4,.206,.311,.333,154,65,89,6,5,10,5,0,5,4.50,1.56,6,11,0,24,7,1,0,0,0,0,0,0
634604,home,118,11,12,4,4,.370,.467,.671,146,55,91,10,3,6,4,1,4,6.50,1.83,6,10,0,27,8,0,0,0,0,0,0,0
634604,away,140,4,6,10,3,.292,.407,.389,148,59,89,4,4,12,8,2,11,12.38,2.44,12,7,0,24,12,1,0,0,0,0,0,0
634643,home,112,5,7,12,4,.158,.246,.298,126,42,84,12,1,6,1,0,1,3.00,1.50,4,10,0,27,6,0,0,0,0,0,0,0
634643,away,134,1,6,12,1,.224,.350,.328,160,60,100,12,4,7,5,2,5,3.71,1.00,7,6,0,24,5,2,0,0,0,0,0,0
634580,home,143,4,8,10,4,.258,.359,.333,113,34,79,14,0,1,0,0,0,0.95,0.53,5,8,0,27,5,0,0,0,0,0,0,0
634580,away,144,0,1,14,0,.123,.162,.200,144,54,90,10,4,8,4,0,4,3.06,1.42,9,3,0,24,11,0,0,0,0,0,0,0
634629,home,133,1,3,11,5,.185,.294,.272,172,62,110,6,2,13,9,1,9,8.33,1.81,10,10,0,27,12,0,0,0,0,0,0,0
634629,away,117,9,13,6,2,.324,.405,.550,150,64,86,11,5,3,1,0,1,2.00,1.04,10,5,0,27,11,1,0,0,0,0,0,0
634654,home,113,9,12,8,3,.319,.415,.551,170,71,99,13,5,7,5,3,6,7.00,1.39,7,8,0,27,7,1,0,0,0,0,0,0
634654,away,138,6,7,13,5,.239,.321,.479,152,59,93,8,3,12,9,2,9,7.94,1.76,9,6,0,24,9,0,0,0,0,0,0,0
634596,home,146,12,14,10,5,.267,.321,.426,124,39,85,6,1,9,6,1,7,4.33,1.07,9,12,0,27,8,2,0,0,0,0,0,0
634596,away,139,7,9,6,1,.222,.278,.424,171,55,116,10,5,14,11,2,12,5.19,1.38,5,8,0,24,7,1,0,0,0,0,1,0
634575,home,158,0,1,17,1,.176,.243,.191,129,43,86,13,0,4,2,1,2,3.32,1.11,7,7,0,27,9,0,0,0,0,0,0,0
634575,away,142,2,4,13,0,.200,.282,.343,127,40,87,17,1,1,0,0,0,0.50,0.83,5,5,0,27,6,0,0,0,0,0,0,0
634633,home,115,5,7,6,3,.250,.304,.490,170,62,108,14,4,12,6,1,6,7.33,2.11,9,5,0,27,5,1,0,0,0,0,0,0
634633,away,119,6,12,14,4,.371,.444,.560,146,62,84,6,3,7,5,2,5,6.23,1.31,10,11,0,27,8,0,0,0,0,0,0,0
634623,home,135,7,10,8,6,.305,.414,.526,116,34,82,11,0,4,0,0,0,2.00,1.00,9,6,0,27,8,0,0,0,0,0,0,0
634623,away,109,0,4,11,0,.226,.248,.406,169,71,98,8,6,10,5,1,7,6.38,1.96,7,10,0,24,6,2,0,0,0,0,0,0
634646,home,108,5,9,11,2,.235,.312,.408,144,47,97,10,3,9,3,1,3,6.00,1.44,13,3,0,27,15,0,0,0,0,0,0,0
634646,away,145,3,9,10,3,.269,.336,.426,144,52,92,11,2,9,3,1,5,3.96,1.36,4,9,0,24,4,2,0,0,0,0,0,0
634639,home,136,4,8,8,3,.202,.321,.372,157,57,100,12,2,6,0,0,0,3.86,1.21,4,10,0,27,5,0,0,0,0,0,0,0
634639,away,137,0,6,12,2,.226,.299,.443,127,40,87,8,3,8,4,2,4,4.50,1.35,11,4,0,24,10,0,0,0,0,0,0,0
634620,home,120,8,11,4,3,.249,.321,.399,155,48,107,8,0,10,4,2,4,3.86,1.22,8,10,0,27,10,1,0,0,0,0,0,0
634620,away,121,4,10,8,0,.230,.309,.372,116,41,75,4,3,11,7,5,8,3.13,1.14,9,11,0,24,8,3,0,0,0,0,0,0
